pr_id,n_findings,id,agent
2883609845,7,2883609845,Claude_Code
2972319075,2,2972319075,Devin
2983852413,2,2983852413,Devin
2985351959,1,2985351959,Claude_Code
3087535228,3,3087535228,Copilot
3088304216,2,3088304216,Devin
3094488685,8,3094488685,Copilot
3117856172,1,3117856172,OpenAI_Codex
3140527739,3,3140527739,Copilot
3141477809,3,3141477809,Copilot
3147434301,1,3147434301,OpenAI_Codex
3154662508,13,3154662508,Claude_Code
3155665858,4,3155665858,Copilot
3164250713,1,3164250713,Claude_Code
3172939109,6,3172939109,Devin
3179729495,1,3179729495,Claude_Code
3184725856,1,3184725856,Claude_Code
3185859728,6,3185859728,Claude_Code
3193786351,1,3193786351,Claude_Code
3195562721,6,3195562721,OpenAI_Codex
3202851217,1,3202851217,Copilot
3204784695,6,3204784695,Devin
3216706697,1,3216706697,Claude_Code
3219880512,4,3219880512,Claude_Code
3220699146,5,3220699146,Devin
3241861541,5,3241861541,Claude_Code
3272907868,3,3272907868,Claude_Code
3273752719,1,3273752719,Claude_Code
